n,cig,strutturaProponente:codiceFiscaleProp,strutturaProponente:denominazione,importoAggiudicazione,importoSommeLiquidate,oggetto,sceltaContraente,tempiCompletamento:dataInizio,tempiCompletamento:dataUltimazione,lottoID
1,Z010DB470C,00215150236,Comune di Verona,500.00,500.00,"Servizio di proiezione film. Manifestazione Ottomarzo. Femminile, plurale, ed. 2014",23-AFFIDAMENTO DIRETTO,2014-02-18,2014-03-05,idm3
2,ZD60E2C07C,00215150236,Comune di Verona,60.00,60.00,Legge di stabilità 2014,23-AFFIDAMENTO DIRETTO,2014-01-31,2014-01-31,idm23
3,Z490E5D409,00215150236,Comune di Verona,500.00,500.00,ORGANIZZAZIONE DI UNO SPETTACOLO MUSICALE DENOMINATO DA ZERO AL CIELO,23-AFFIDAMENTO DIRETTO,2014-04-26,2014-04-26,idm43
4,ZD80CC8B49,00215150236,Comune di Verona,2058.67,2058.67,Fornitura materiale di cancelleria didattica per gli asili nido comunali Anno Educativo 2013/2014 - Lotto 2,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2014-04-24,2014-05-30,idm63
5,ZAD0EF8710,00215150236,Comune di Verona,1145.85,1145.85,Servizio impianto temporaneo energia elettrica,23-AFFIDAMENTO DIRETTO,2014-04-01,2014-04-29,idm89
6,ZAA0EBCB47,00215150236,Comune di Verona,200.00,200.00,RCS MediaGroup Spa - fatt. 2014002004/2014- pubblicazione avviso di gara,23-AFFIDAMENTO DIRETTO,2014-01-27,2014-01-28,idm109
7,ZD90ED7B96,00215150236,Comune di Verona,9250.00,7502.64,NOLEGGIO FULL SERVICE QUINQUENNALE DI UNA MULTIFUNZIONE A COLORI PER LA POLIZIA LOCALE MEDIANTE ADESIONE ALLA CONVENZIONE CONSIP FOTOCOPIATRICI 22 - LOTTO 1-F,26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,2014-08-08,2019-08-07,idm129
8,Z9E0ED8046,00215150236,Comune di Verona,17416.49,17395.50,Circoscrizione 4^ manutenzione straordinaria edifici finanziata con residui bilanci anni vari - opere da elettricista,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2014-08-25,2015-11-17,idm149
9,Z470F771A7,00215150236,Comune di Verona,4000.00,4000.00,Servizio di assistenza e monitoraggio meteo per le serate di spettacolo al teatro romano per l'estate teatrale veronese 2014,23-AFFIDAMENTO DIRETTO,2014-06-21,2014-08-09,idm181
10,ZD50EE03C6,00215150236,Comune di Verona,362.00,362.00,Organizzazione di n. 2 spettacoli al Teatro Blu,23-AFFIDAMENTO DIRETTO,2014-06-01,2015-12-31,idm201
11,58689201FF,00215150236,Comune di Verona,7606204.20,7606204.20,Contratto di servizio per la gestione del trasporto pubblico locale - primo periodo 2014,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2014-01-01,2014-06-08,idm221
12,5890296A05,00215150236,Comune di Verona,90000.00,86136.00,Servizi di Affidamento di Minori e Giovani,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2014-07-01,2015-06-30,idm241
13,Z94109B2BB,00215150236,Comune di Verona,62.50,62.50,"Fornitura di un lotto di 25 schede con codici ISBN precompilati.
Fornitore ISBN International Standard Book Number attraverso l’Agenzia Ediser Srl.",23-AFFIDAMENTO DIRETTO,2014-09-02,2014-10-03,idm261
14,Z73109F74B,00215150236,Comune di Verona,409.84,409.84,Fornitura attrezzature per biblioteca,23-AFFIDAMENTO DIRETTO,2014-09-03,2014-12-31,idm281
15,5702563FD7,00215150236,Comune di Verona,2000000.00,958750.60,Personale - Indizione di procedura aperta per laffidamento del servizio di somministrazione di lavoratori a tempo determinato,01-PROCEDURA APERTA,2014-10-01,2017-09-30,idm301
16,ZC3110C68F,00215150236,Comune di Verona,379.83,379.83,Libr.Conc. IPZS - fatt. 4275/14- pubblicazione avviso di gara,23-AFFIDAMENTO DIRETTO,2014-08-28,2014-08-29,idm345
17,Z63103FC64,00215150236,Comune di Verona,626.40,626.40,FORNITURA TELERIE E MERCERIE - TAPPETO PASSATOIA,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2014-07-23,2014-12-09,idm365
18,Z3F116C3BB,00215150236,Comune di Verona,250.00,250.00,ABBONAMENTO RIVISTA GIURIDICA,23-AFFIDAMENTO DIRETTO,2014-10-27,2015-10-28,idm412
19,Z54106B36C,00215150236,Comune di Verona,6507.97,6499.19,LAVORI DI MANUTENZIONE ORDINARIA  DEGLI IMMOBILI COMUNALI AFFIDATI IN GESTIONE ALLA 8^ CIRCOSCRIZIONE - PRIMO SEMESTRE 2014 - OPERE DA ELETTRICISTA - OS30,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2014-10-09,2014-12-31,idm432
20,57862260C0,00215150236,Comune di Verona,58240.19,58231.66,EDILIZIA SCOLASTICA - Interventi necessari per la riqualificazione degli edifici scolastici del Comune di Verona - Circoscrizioni 1^ e 5^ - OPERE EDILI,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2014-11-04,2015-11-03,idm455
21,Z410FFFC71,00215150236,Comune di Verona,210.00,210.00,ACQUISTO SOFTWARE PER LA CERTIFICAZIONE DEL RENDICONTO DI BILANCIO 2013,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2014-09-04,2014-09-30,idm559
22,Z7E109FE2E,00215150236,Comune di Verona,945.00,945.00,Fornitura materiale didattico asili nido - posizione 2,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2014-12-17,2014-12-17,idm591
23,Z2511B282F,00215150236,Comune di Verona,9840.00,9840.00,SERVIZI DI AFFIDAMENTO DI MINORI E GIOVANI,23-AFFIDAMENTO DIRETTO,2014-05-19,2014-08-31,idm614
